Назва;Висота;Ширина;Товщина стінки;Товщина середини основи;Внутрішній радіус;Зовнішній радіус
10;100;55;4,5;7,2;7;2,5
12;120;64;4,8;7,3;7,5;3
14;140;73;4,9;7,5;8;3
16;160;81;5;7,8;6,5;3,5
18;180;90;5,1;8,1;9;3,5
18а;180;100;5,1;8,3;9;3,5
20;200;100;5,2;8,4;9,5;4
20а;200;110;5,2;8,6;9,5;4
22;220;110;5,4;8,7;10;4
22а;220;120;5,4;8,9;10;4
24;240;115;5,6;9,5;10,5;4
24а;240;125;5,6;9,8;10,5;4
27;270;125;6;9,8;11;4,5
27а;270;135;6;10,2;11;4,5
30;300;135;6,5;10,2;12;5
30а;300;145;6,5;10,7;12;5
33;330;140;7;11,2;13;5
36;360;145;7,5;12,3;14;6
40;400;155;8,3;13;15;6
45;450;160;9;14,2;16;7
50;500;170;10;15,2;17;7
55;550;180;11;16,5;18;7
60;600;190;12;17,8;20;8
