Ќазва;¬нутр≥шн≥й рад≥ус;«овн≥шн≥й рад≥ус
20х20х3;3,5;1,2
20х20х4;3,5;1,2
25х25х3;3,5;1,2
25х25х4;3,5;1,2
28х28х3;4;1,3
30х30х3;4;1,3
30х30х4;4;1,3
32х32х3;4,5;1,5
32х32х4;4,5;1,5
35х35х3;4,5;1,5
35х35х4;4,5;1,5
35х35х5;4,5;1,5
40х40х3;5;1,7
40х40х4;5;1,7
40х40х5;5;1,7
45х45х3;5;1,7
45х45х4;5;1,7
45х45х5;5;1,7
50х50х3;5,5;1,8
50х50х4;5,5;1,8
50х50х5;5,5;1,8
50х50х6;5,5;1,8
56х56х4;6;2
56х56х5;6;2
60х60х4;7;2,3
60х60х5;7;2,3
60х60х6;7;2,3
60х60х8;7;2,3
60х60х10;7;2,3
63х63х4;7;2,3
63х63х5;7;2,3
63х63х6;7;2,3
70х70х4,5;8;2,7
70х70х5;8;2,7
70х70х6;8;2,7
70х70х7;8;2,7
70х70х8;8;2,7
75х75х5;9;3
75х75х6;6,889;145,2
75х75х7;7,964;125,6
75х75х8;9,024;110,8
75х75х9;10,07;99,3
80х80х5,5;6,777;147,6
80х80х6;7,36;135,9
80х80х7;8,513;117,5
80х80х8;9,652;103,6
90х90х6;10;3,3
90х90х7;10;3,3
90х90х8;10;3,3
90х90х9;10;3,3
100х100х6,5;12;4
100х100х7;10,79;92,64
100х100х8;12,25;81,66
100х100х10;15,1;66,21
100х100х12;17,9;55,87
100х100х14;20,63;48,47
100х100х15;21,97;45,51
100х100х16;23,3;42,92
110х110х7;11,89;84,08
110х110х8;13,5;74,06
120х120х8;4,6;14,74
120х120х10;4,6;18,23
120х120х12;4,6;21,65
120х120х15;4,6;26,67
125х125х8;14;4,6
125х125х9;17,29;57,85
125х125х10;19,1;52,36
125х125х12;22,68;44,09
125х125х14;26,2;38,17
125х125х16;29,65;33,73
140х140х9;19,41;51,53
140х140х10;21,45;46,61
140х140х12;25,5;39,21
150х150х10;23,02;43,43
150х150х12;27,39;36,51
150х150х15;33,82;29,57
150х150х18;40,11;24,93
160х160х10;16;5,3
160х160х11;27,02;37,01
160х160х12;29,35;34,07
160х160х14;33,97;29,44
160х160х16;38,52;25,96
160х160х18;43,01;23,25
160х160х20;47,44;21,08
180х180х11;30,47;32,82
180х180х12;33,12;30,19
200х200х12;18;6
200х200х13;18;6
200х200х14;18;6
200х200х16;18;6
200х200х20;18;6
200х200х25;18;6
200х200х30;18;6
220х220х14;21;7
220х220х16;21;7
250х250х16;24;8
250х250х18;24;8
250х250х20;24;8
250х250х22;24;8
250х250х25;24;8
250х250х28;24;8
250х250х30;24;8
